Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,20.870001,21.174999,20.645000,20.985001,16.125143,19566874
2015-01-05,20.834999,21.180000,20.025000,20.025000,15.387468,11493422
2015-01-06,20.065001,20.150000,19.785000,19.785000,15.203050,4172856
2015-01-07,19.860001,20.049999,19.584999,19.629999,15.083943,8461737
2015-01-08,19.500000,19.820000,19.350000,19.795000,15.524705,9635407
2015-01-09,19.709999,19.985001,19.325001,19.490000,15.285501,10392342
2015-01-12,19.875000,19.875000,19.025000,19.174999,15.038457,12832425
2015-01-13,19.115000,19.620001,19.059999,19.549999,15.332560,3522971
2015-01-14,19.170000,19.400000,18.840000,18.865000,14.795329,6748467
2015-01-15,18.965000,19.389999,18.590000,19.355000,15.179624,3643956
2015-01-16,19.264999,19.530001,18.980000,19.450001,15.254132,5969994
2015-01-19,19.450001,19.690001,19.400000,19.615000,15.383536,1406867
2015-01-20,19.615000,19.764999,19.540001,19.605000,15.375693,1864855
2015-01-21,19.639999,20.135000,19.430000,20.110001,15.771751,3469553
2015-01-22,20.139999,20.745001,19.975000,20.695000,16.230553,3545648
2015-01-23,20.785000,21.160000,20.680000,20.834999,16.340349,3247663
2015-01-26,20.600000,21.105000,20.500000,21.010000,16.477600,4600727
2015-01-27,20.959999,21.180000,20.945000,21.020000,16.485443,3124556
2015-01-28,21.165001,21.215000,20.805000,21.139999,16.579556,4944254
2015-01-29,21.080000,21.325001,20.950001,21.325001,16.724646,4214147
2015-01-30,21.504999,21.705000,20.639999,20.799999,16.312901,6906526
2015-02-02,20.895000,20.910000,20.379999,20.660000,16.203102,2276862
2015-02-03,20.799999,21.014999,20.684999,20.875000,16.371721,1930399
2015-02-04,20.870001,20.900000,20.280001,20.405001,16.003113,2291764
2015-02-05,20.245001,20.385000,20.004999,20.385000,15.987427,1996729
2015-02-06,20.385000,20.715000,20.315001,20.559999,16.124678,3378692
2015-02-09,20.340000,20.355000,20.100000,20.260000,15.889394,3118427
2015-02-10,20.315001,20.615000,20.160000,20.549999,16.116831,2070288
2015-02-11,20.629999,20.700001,20.209999,20.254999,15.885472,2290934
2015-02-12,20.225000,20.889999,20.184999,20.805000,16.316822,3051146
2015-02-13,20.875000,21.209999,20.735001,21.139999,16.579556,3919185
2015-02-16,21.155001,21.155001,20.915001,21.025000,16.489365,1844165
2015-02-17,20.740000,20.834999,20.360001,20.615000,16.167810,3013275
2015-02-18,20.775000,20.844999,20.305000,20.490000,16.069777,4644850
2015-02-19,20.424999,20.674999,20.400000,20.514999,16.089384,2648338
2015-02-20,20.440001,20.625000,20.385000,20.625000,16.175653,7580208
2015-02-23,20.760000,20.950001,20.650000,20.924999,16.410934,2858659
2015-02-24,20.959999,21.290001,20.740000,21.250000,16.665825,3022423
2015-02-25,21.290001,21.344999,21.150000,21.299999,16.705038,2474745
2015-02-26,21.270000,21.385000,21.230000,21.360001,16.752098,2519833
2015-02-27,21.320000,21.650000,21.205000,21.594999,16.936399,2535796
2015-03-02,21.660000,21.775000,21.410000,21.740000,17.050121,4401919
2015-03-03,21.795000,21.840000,21.475000,21.504999,16.865812,2330605
2015-03-04,21.500000,21.690001,21.295000,21.545000,16.897186,2849274
2015-03-05,21.549999,21.650000,21.350000,21.565001,16.912874,2540202
2015-03-06,21.629999,21.629999,21.014999,21.075001,16.528576,4934594
2015-03-09,20.879999,21.129999,20.770000,21.110001,16.556026,2533575
2015-03-10,21.170000,21.219999,20.770000,20.830000,16.336433,4916747
2015-03-11,20.840000,21.180000,20.805000,21.025000,16.489365,1520182
2015-03-12,21.035000,21.135000,20.719999,20.809999,16.320744,2056717
2015-03-13,20.900000,20.969999,20.440001,20.725000,16.254080,1776089
2015-03-16,20.750000,20.850000,20.540001,20.745001,16.269768,2407412
2015-03-17,20.815001,20.965000,20.559999,20.725000,16.254080,2367960
2015-03-18,20.760000,20.910000,20.510000,20.844999,16.348196,2952553
2015-03-19,20.950001,21.184999,20.795000,20.915001,16.403095,1546667
2015-03-20,20.995001,21.590000,20.934999,21.405001,16.787388,3197267
2015-03-23,21.450001,21.660000,21.355000,21.545000,16.897186,3759859
2015-03-24,21.559999,21.760000,21.455000,21.650000,16.979536,2993621
2015-03-25,21.639999,21.660000,21.410000,21.480000,16.846209,1904919
2015-03-26,21.415001,21.480000,21.215000,21.440001,16.814835,2737317
2015-03-27,21.475000,21.610001,21.219999,21.299999,16.705038,1972894
2015-03-30,21.355000,21.459999,21.235001,21.334999,16.732489,1412676
2015-03-31,21.340000,21.434999,20.910000,20.915001,16.403095,5428553
2015-04-01,20.790001,21.365000,20.775000,21.215000,16.638376,3452045
2015-04-02,21.275000,21.315001,21.049999,21.240000,16.657982,1232372
2015-04-07,21.495001,21.799999,21.350000,21.730000,17.042278,1720856
2015-04-08,21.770000,22.295000,21.715000,21.955000,17.218739,3901730
2015-04-09,22.000000,22.245001,21.930000,22.209999,17.418728,2769523
2015-04-10,22.350000,22.365000,22.000000,22.139999,17.363829,1700604
2015-04-13,22.240000,22.549999,22.230000,22.535000,17.673618,2843431
2015-04-14,22.480000,22.540001,22.100000,22.295000,17.485392,8749157
2015-04-15,22.225000,22.370001,22.100000,22.270000,17.465784,3310689
2015-04-16,22.295000,22.295000,22.010000,22.035000,17.281479,1463457
2015-04-17,22.000000,22.135000,21.725000,21.830000,17.120705,2108432
2015-04-20,21.945000,21.969999,21.549999,21.790001,17.089333,1191954
2015-04-21,22.014999,22.160000,21.565001,21.730000,17.042278,2059589
2015-04-22,21.840000,21.840000,21.514999,21.690001,17.010904,1425568
2015-04-23,21.594999,21.860001,21.520000,21.700001,17.018751,1207602
2015-04-24,21.900000,22.180000,21.885000,22.155001,17.375595,2172929
2015-04-27,22.200001,22.355000,21.799999,22.260000,17.457945,1190848
2015-04-28,22.320000,22.600000,22.205000,22.475000,17.626560,2241076
2015-04-29,22.545000,22.594999,21.905001,22.055000,17.297167,3754380
2015-04-30,21.965000,22.230000,21.910000,21.955000,17.218739,2335385
2015-05-04,21.940001,22.139999,21.709999,22.004999,17.257950,1208974
2015-05-05,21.975000,22.160000,21.445000,21.500000,16.861893,2124284
2015-05-06,21.410000,21.575001,21.070000,21.254999,16.669744,3602515
2015-05-07,21.254999,21.594999,20.860001,21.514999,16.873655,3267277
2015-05-08,21.684999,21.844999,21.450001,21.844999,17.132467,2391666
2015-05-11,21.775000,22.004999,21.674999,21.950001,17.214817,1122420
2015-05-12,21.820000,21.955000,21.610001,21.875000,17.156000,2414239
2015-05-13,21.995001,22.059999,21.815001,21.950001,17.214817,1527136
2015-05-14,21.955000,22.305000,21.850000,22.245001,17.446180,1273382
2015-05-15,22.344999,22.344999,22.059999,22.240000,17.442257,1477460
2015-05-18,22.280001,22.350000,21.965000,22.254999,17.454020,1147230
2015-05-19,22.400000,22.590000,22.365000,22.525000,17.665775,2331675
2015-05-20,22.465000,22.715000,22.215000,22.639999,17.755966,1786548
2015-05-21,22.650000,22.879999,22.625000,22.820000,17.897139,1499418
2015-05-22,22.830000,22.895000,22.605000,22.730000,17.826551,1466083
2015-05-25,22.580000,22.600000,22.150000,22.235001,17.438335,830582
2015-05-26,22.209999,22.500000,21.985001,22.165001,17.383438,3483311
2015-05-27,22.254999,22.600000,22.155001,22.535000,17.673618,1809274
2015-05-28,22.520000,22.715000,22.330000,22.540001,17.677538,2565247
2015-05-29,22.535000,22.680000,22.315001,22.395000,17.563820,1625709
2015-06-01,22.495001,22.635000,22.240000,22.275000,17.469707,1358447
2015-06-02,22.334999,22.379999,22.049999,22.139999,17.363829,2581803
2015-06-03,22.254999,22.450001,22.065001,22.125000,17.352064,1936828
2015-06-04,22.070000,22.070000,21.555000,21.799999,17.097178,1776224
2015-06-05,21.584999,21.799999,21.545000,21.600000,16.940323,1490577
2015-06-08,21.600000,21.610001,21.315001,21.415001,16.795231,1628344
2015-06-09,21.415001,21.580000,21.309999,21.559999,16.908953,2699518
2015-06-10,21.455000,21.930000,21.424999,21.885000,17.163837,2564783
2015-06-11,21.910000,21.965000,21.760000,21.895000,17.171682,1797803
2015-06-12,21.799999,21.895000,21.290001,21.480000,16.846209,2082797
2015-06-15,21.270000,21.389999,21.070000,21.190001,16.618767,1994795
2015-06-16,21.049999,21.205000,20.809999,21.155001,16.591318,3107746
2015-06-17,21.240000,21.285000,20.920000,21.105000,16.552103,2698973
2015-06-18,21.105000,21.235001,20.825001,21.225000,16.646217,6576476
2015-06-19,21.170000,21.389999,21.055000,21.155001,16.591318,14346630
2015-06-22,21.620001,21.855000,21.445000,21.730000,17.042278,8340337
2015-06-23,21.945000,21.950001,21.559999,21.600000,16.940323,8160324
2015-06-24,21.690001,21.695000,21.295000,21.315001,16.716805,8153867
2015-06-25,21.200001,21.549999,21.139999,21.225000,16.646217,1556192
2015-06-26,21.145000,21.250000,20.885000,21.120001,16.563871,1895782
