Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,17.924999,17.990000,17.870001,17.920000,16.787455,545563
2017-01-03,17.959999,18.045000,17.790001,17.855000,16.726563,841167
2017-01-04,17.809999,17.840000,17.590000,17.639999,16.525148,1077943
2017-01-05,17.570000,17.785000,17.565001,17.605000,16.492363,1121794
2017-01-06,17.590000,17.695000,17.545000,17.695000,16.576674,577915
2017-01-09,17.750000,17.750000,17.475000,17.549999,16.440838,1479942
2017-01-10,17.580000,17.600000,17.250000,17.305000,16.211323,1601895
2017-01-11,17.250000,17.325001,17.055000,17.245001,16.155115,1818695
2017-01-12,17.250000,17.469999,17.209999,17.424999,16.323738,1966869
2017-01-13,17.485001,17.665001,17.420000,17.600000,16.487679,1792795
2017-01-16,17.600000,17.799999,17.580000,17.735001,16.614147,1010794
2017-01-17,17.705000,17.790001,17.635000,17.790001,16.665672,1095231
2017-01-18,17.799999,17.930000,17.719999,17.760000,16.637568,990132
2017-01-19,17.760000,17.770000,17.635000,17.680000,16.562622,1239372
2017-01-20,17.709999,17.725000,17.540001,17.610001,16.497047,1163387
2017-01-23,17.555000,17.555000,17.375000,17.440001,16.337793,872017
2017-01-24,17.450001,17.490000,17.285000,17.415001,16.314371,927477
2017-01-25,17.525000,17.639999,17.355000,17.525000,16.417419,1245689
2017-01-26,17.540001,17.674999,17.389999,17.670000,16.553255,1435944
2017-01-27,17.730000,17.879999,17.655001,17.879999,16.749981,1474231
2017-01-30,17.879999,17.930000,17.745001,17.830000,16.703144,1132235
2017-01-31,17.889999,17.900000,17.690001,17.820000,16.693773,985699
2017-02-01,17.920000,17.959999,17.540001,17.605000,16.492363,1303326
2017-02-02,17.559999,18.180000,17.459999,18.065001,16.923290,1736980
2017-02-03,18.090000,18.325001,18.045000,18.315001,17.157492,1320410
2017-02-06,18.385000,18.389999,18.105000,18.200001,17.049759,2124681
2017-02-07,18.125000,18.490000,18.115000,18.344999,17.185595,2061810
2017-02-08,18.150000,18.440001,18.000000,18.090000,16.946712,2724108
2017-02-09,18.174999,18.270000,18.100000,18.240000,17.087231,2161227
2017-02-10,18.225000,18.320000,18.020000,18.055000,16.913923,1506191
2017-02-13,18.065001,18.320000,18.020000,18.195000,17.045074,1114079
2017-02-14,18.195000,18.340000,18.020000,18.100000,16.956078,1163307
2017-02-15,18.125000,18.219999,18.010000,18.055000,16.913923,1726941
2017-02-16,18.120001,18.174999,17.990000,18.065001,16.923290,1213182
2017-02-17,18.150000,18.180000,17.905001,18.045000,16.904554,1049384
2017-02-20,18.100000,18.160000,18.040001,18.135000,16.988867,545354
2017-02-21,18.150000,18.340000,18.049999,18.340000,17.180910,953453
