Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.650000,18.680000,18.209999,18.424999,14.822639,17920417
2016-01-05,18.655001,18.799999,18.410000,18.650000,15.003648,4395606
2016-01-06,18.680000,18.680000,18.309999,18.510000,14.891018,2746700
2016-01-07,18.145000,18.415001,17.830000,18.344999,14.758280,4679892
2016-01-08,17.959999,18.155001,17.715000,17.735001,14.591914,8088167
2016-01-11,17.650000,18.219999,17.610001,17.975000,14.789380,9806089
2016-01-12,17.959999,18.370001,17.790001,18.040001,14.842862,10137754
2016-01-13,17.965000,18.139999,17.770000,17.924999,14.748241,4609727
2016-01-14,17.764999,17.764999,17.344999,17.535000,14.427359,3123459
2016-01-15,17.480000,17.600000,17.010000,17.080000,14.052996,2694920
2016-01-18,17.075001,17.235001,16.910000,16.930000,13.929580,10414727
2016-01-19,17.200001,17.375000,17.049999,17.370001,14.291602,3419286
2016-01-20,17.065001,17.254999,16.830000,16.969999,13.962491,2279688
2016-01-21,16.955000,17.334999,16.940001,17.145000,14.106477,2267739
2016-01-22,17.350000,17.834999,17.295000,17.719999,14.579572,2617387
2016-01-25,17.805000,17.875000,17.510000,17.600000,14.480841,1656252
2016-01-26,17.340000,17.840000,17.305000,17.750000,14.604256,5143197
2016-01-27,17.750000,17.834999,17.639999,17.740000,14.596029,1603646
2016-01-28,17.674999,18.100000,17.639999,17.830000,14.670077,2186882
2016-01-29,17.995001,18.100000,17.855000,18.014999,14.822290,2533720
2016-02-01,18.190001,18.325001,17.940001,18.135000,14.921024,2919621
2016-02-02,18.155001,18.155001,17.514999,17.799999,14.645393,2753427
2016-02-03,17.975000,18.049999,16.395000,16.820000,13.839074,6895288
2016-02-04,16.500000,16.629999,16.309999,16.500000,13.575788,5278567
2016-02-05,16.415001,16.709999,16.280001,16.495001,13.571674,2903456
2016-02-08,16.495001,16.549999,15.845000,15.960000,13.131487,2488968
2016-02-09,15.960000,16.049999,15.400000,15.555000,12.798265,3475610
2016-02-10,15.555000,15.910000,15.350000,15.595000,12.831177,3216764
2016-02-11,15.505000,15.505000,15.065000,15.140000,12.456814,4386271
2016-02-12,15.415000,15.430000,15.160000,15.265000,12.559661,2127233
2016-02-15,15.600000,15.800000,15.585000,15.790000,12.991617,2058164
2016-02-16,15.910000,15.910000,15.565000,15.665000,12.888771,7130284
2016-02-17,15.680000,15.805000,15.520000,15.805000,13.003959,4091987
2016-02-18,16.020000,16.559999,15.990000,16.315001,13.423573,3837625
2016-02-19,16.340000,16.375000,15.985000,16.100000,13.246677,6097572
2016-02-22,16.295000,16.344999,16.045000,16.344999,13.448256,2549543
2016-02-23,16.270000,16.365000,16.030001,16.070000,13.221994,1835357
2016-02-24,16.120001,16.120001,15.530000,15.620000,12.851745,4170278
2016-02-25,15.665000,15.835000,15.510000,15.705000,12.921681,5736511
2016-02-26,15.870000,16.315001,15.870000,16.065001,13.217880,3033323
2016-02-29,15.970000,16.145000,15.835000,16.125000,13.267246,2512124
2016-03-01,16.045000,16.299999,16.045000,16.254999,13.374207,1668274
2016-03-02,16.285000,16.424999,16.184999,16.379999,13.477052,2442268
2016-03-03,16.385000,16.620001,16.270000,16.610001,13.666293,1566197
2016-03-04,16.705000,16.820000,16.535000,16.715000,13.752685,2090731
2016-03-07,16.670000,16.674999,16.410000,16.530001,13.600471,2679186
2016-03-08,16.379999,16.625000,16.290001,16.485001,13.563446,3215495
2016-03-09,16.475000,16.840000,16.465000,16.655001,13.703318,2399656
2016-03-10,16.735001,17.190001,16.605000,16.635000,13.686863,3238439
2016-03-11,16.910000,17.240000,16.775000,17.200001,14.151731,5229563
2016-03-14,17.230000,17.365000,17.080000,17.264999,14.205210,2928738
2016-03-15,17.155001,17.225000,16.945000,17.059999,14.036540,2665258
2016-03-16,17.070000,17.165001,16.910000,16.995001,13.983060,1892037
2016-03-17,17.145000,17.240000,16.875000,17.150000,14.110591,3977506
2016-03-18,17.190001,17.350000,17.055000,17.295000,14.229893,4069122
2016-03-21,17.645000,18.000000,17.440001,17.584999,14.468496,4172472
2016-03-22,17.559999,17.719999,17.320000,17.680000,14.546661,2892120
2016-03-23,17.764999,17.850000,17.590000,17.775000,14.624825,2558790
2016-03-24,17.740000,17.850000,17.610001,17.785000,14.633052,2096442
2016-03-29,17.955000,18.014999,17.764999,17.924999,14.748241,1458140
2016-03-30,17.950001,18.139999,17.825001,17.930000,14.752356,1332823
2016-03-31,17.870001,17.870001,17.549999,17.770000,14.620710,7694377
2016-04-01,17.520000,17.530001,17.260000,17.350000,14.275147,2337596
2016-04-04,17.379999,17.570000,17.250000,17.350000,14.275147,2108119
2016-04-05,17.360001,17.360001,17.080000,17.145000,14.106477,1744480
2016-04-06,17.110001,17.225000,17.000000,17.195000,14.147615,1560615
2016-04-07,17.299999,17.299999,16.844999,16.924999,13.925467,1976300
2016-04-08,17.000000,17.309999,16.995001,17.230000,14.176412,3852803
2016-04-11,17.260000,17.530001,17.055000,17.469999,14.373879,1396341
2016-04-12,17.440001,17.670000,17.290001,17.615000,14.493181,2446121
2016-04-13,17.799999,17.950001,17.650000,17.725000,14.583686,2517841
2016-04-14,17.799999,17.825001,17.540001,17.695000,14.559004,2729774
2016-04-15,17.690001,17.754999,17.415001,17.480000,14.382106,1916878
2016-04-18,17.355000,17.580000,17.215000,17.575001,14.460271,1248369
2016-04-19,17.700001,18.000000,17.680000,18.000000,14.809949,3133625
2016-04-20,17.975000,18.219999,17.924999,18.215000,14.986847,4000406
2016-04-21,18.260000,18.469999,18.090000,18.195000,14.970391,3491433
2016-04-22,18.010000,18.355000,17.945000,18.305000,15.060896,1707040
2016-04-25,18.264999,18.379999,18.174999,18.305000,15.060896,1315495
2016-04-26,18.360001,18.580000,18.360001,18.514999,15.233677,2189911
2016-04-27,18.594999,18.645000,18.415001,18.445000,15.176084,1661606
2016-04-28,18.370001,18.549999,18.135000,18.549999,15.262477,1611544
2016-04-29,18.440001,18.570000,18.165001,18.165001,14.945708,2315732
2016-05-02,18.299999,18.355000,18.059999,18.160000,14.941593,852540
2016-05-03,18.230000,18.240000,17.674999,17.735001,14.591914,1598749
2016-05-04,17.780001,17.805000,17.424999,17.424999,14.336852,2237500
2016-05-05,17.440001,17.860001,17.424999,17.500000,14.398564,1755100
2016-05-06,17.485001,17.764999,17.410000,17.670000,14.538434,1285922
2016-05-09,17.825001,17.995001,17.700001,17.805000,14.649508,1908992
2016-05-10,18.049999,18.080000,17.775000,17.820000,14.661850,1175906
2016-05-11,17.600000,17.690001,16.740000,16.834999,13.851415,7714127
2016-05-12,16.764999,17.115000,16.615000,16.915001,13.917239,3420174
2016-05-13,16.850000,17.035000,16.535000,16.965000,13.958376,1701801
2016-05-16,16.900000,16.945000,16.745001,16.920000,13.921353,654652
2016-05-17,16.940001,17.295000,16.865000,17.010000,13.995402,2252711
2016-05-18,16.945000,17.215000,16.870001,17.110001,14.077680,1620604
2016-05-19,17.055000,17.055000,16.850000,16.920000,13.921353,1522516
2016-05-20,17.055000,17.190001,16.990000,17.055000,14.032429,2224936
2016-05-23,17.049999,17.225000,16.905001,17.135000,14.098248,1498579
2016-05-24,17.100000,17.430000,17.020000,17.365000,14.287487,1644959
2016-05-25,17.480000,17.600000,17.450001,17.580000,14.464384,1861870
2016-05-26,17.600000,17.715000,17.500000,17.700001,14.563119,1344702
2016-05-27,17.650000,17.879999,17.625000,17.840000,14.678308,1443019
2016-05-30,17.865000,17.950001,17.730000,17.915001,14.740013,872042
2016-05-31,17.969999,18.065001,17.780001,17.790001,14.637168,1727363
2016-06-01,17.745001,17.799999,17.290001,17.389999,14.308056,2422668
2016-06-02,17.500000,17.555000,17.355000,17.440001,14.349195,1244489
