Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,19.445000,19.955000,19.299999,19.920000,19.920000,1913031
2018-01-03,19.910000,20.290001,19.725000,20.290001,20.290001,2931827
2018-01-04,20.230000,20.730000,20.219999,20.730000,20.730000,1907558
2018-01-05,20.730000,20.830000,20.570000,20.760000,20.760000,1096490
2018-01-08,20.790001,20.870001,20.549999,20.709999,20.709999,2396459
2018-01-09,20.680000,20.750000,20.320000,20.500000,20.500000,1674399
2018-01-10,20.450001,20.580000,20.209999,20.299999,20.299999,1954292
2018-01-11,20.370001,20.620001,20.299999,20.520000,20.520000,1948400
2018-01-12,20.549999,20.600000,20.309999,20.430000,20.430000,1467596
2018-01-15,20.500000,20.700001,20.430000,20.559999,20.559999,1282593
2018-01-16,20.500000,20.830000,20.500000,20.700001,20.700001,1418764
2018-01-17,20.700001,20.700001,20.500000,20.629999,20.629999,1018194
2018-01-18,20.610001,20.610001,20.430000,20.559999,20.559999,1464527
2018-01-19,20.420000,20.430000,20.240000,20.370001,20.370001,1441817
2018-01-22,20.290001,20.370001,20.209999,20.270000,20.270000,1135684
2018-01-23,20.340000,20.340000,20.059999,20.190001,20.190001,1625299
2018-01-24,20.129999,20.129999,19.879999,19.924999,19.924999,2432764
2018-01-25,19.900000,19.910000,19.440001,19.549999,19.549999,2570440
2018-01-26,19.615000,19.620001,19.080000,19.290001,19.290001,3276527
2018-01-29,19.000000,19.174999,18.500000,18.965000,18.965000,3232470
2018-01-30,18.700001,18.700001,18.230000,18.475000,18.475000,2898586
2018-01-31,18.215000,18.709999,18.184999,18.605000,18.605000,2880696
2018-02-01,18.820000,19.200001,18.820000,19.090000,19.090000,5959288
2018-02-02,19.065001,19.080000,18.740000,18.825001,18.825001,2564612
2018-02-05,18.695000,18.719999,18.305000,18.344999,18.344999,1405469
2018-02-06,17.934999,18.270000,17.615000,17.690001,17.690001,2634227
2018-02-07,17.750000,18.045000,17.510000,17.910000,17.910000,3274873
2018-02-08,17.860001,17.934999,17.730000,17.910000,17.910000,4268661
2018-02-09,17.924999,18.139999,17.780001,18.025000,18.025000,3646311
2018-02-12,18.180000,18.510000,18.139999,18.510000,18.510000,3781807
2018-02-13,18.510000,18.580000,18.360001,18.530001,18.530001,3111672
2018-02-14,18.625000,18.680000,18.395000,18.485001,18.485001,1788329
2018-02-15,18.570000,18.580000,18.145000,18.309999,18.309999,1514541
2018-02-16,18.420000,18.530001,18.365000,18.445000,18.445000,1379308
2018-02-19,18.440001,18.690001,18.240000,18.325001,18.325001,837880
2018-02-20,18.334999,18.520000,18.230000,18.340000,18.340000,1176512
2018-02-21,18.350000,18.350000,18.180000,18.280001,18.280001,817111
2018-02-22,18.165001,18.680000,18.115000,18.615000,18.615000,2479922
2018-02-23,18.665001,19.090000,18.549999,19.014999,19.014999,1694644
2018-02-26,19.110001,19.195000,18.959999,19.150000,19.150000,2777400
2018-02-27,19.139999,19.195000,18.895000,19.100000,19.100000,812154
2018-02-28,19.000000,19.115000,18.815001,18.815001,18.815001,1815207
2018-03-01,18.760000,18.815001,18.549999,18.580000,18.580000,962703
2018-03-02,18.500000,18.545000,18.230000,18.295000,18.295000,1677085
2018-03-05,18.235001,18.680000,18.209999,18.615000,18.615000,1387193
2018-03-06,18.730000,18.770000,18.490000,18.490000,18.490000,883502
2018-03-07,18.525000,18.695000,18.459999,18.565001,18.565001,1168147
2018-03-08,18.629999,18.629999,18.389999,18.555000,18.555000,1123051
2018-03-09,18.559999,18.820000,18.549999,18.709999,18.709999,943215
2018-03-12,18.850000,19.129999,18.850000,19.000000,19.000000,1694131
2018-03-13,19.055000,19.344999,19.025000,19.030001,19.030001,1321193
2018-03-14,19.049999,19.100000,18.780001,18.820000,18.820000,1181762
2018-03-15,18.875000,18.910000,18.740000,18.775000,18.775000,1146203
2018-03-16,18.815001,18.865000,18.735001,18.834999,18.834999,2274841
2018-03-19,18.809999,19.010000,18.780001,18.910000,18.910000,1061231
2018-03-20,18.860001,18.955000,18.750000,18.889999,18.889999,910787
2018-03-21,18.950001,18.959999,18.735001,18.820000,18.820000,1824351
2018-03-22,18.730000,18.940001,18.629999,18.830000,18.830000,1375545
2018-03-23,18.690001,18.750000,18.559999,18.700001,18.700001,1276566
2018-03-26,18.834999,18.844999,18.684999,18.830000,18.830000,841715
2018-03-27,19.000000,19.129999,18.840000,19.100000,19.100000,837603
2018-03-28,19.055000,19.670000,19.000000,19.670000,19.670000,2600535
2018-03-29,19.700001,19.700001,19.389999,19.389999,19.389999,1483345
2018-04-03,19.245001,19.500000,19.209999,19.480000,19.480000,985429
2018-04-04,19.480000,19.559999,19.340000,19.480000,19.480000,799032
2018-04-05,19.625000,19.690001,19.545000,19.690001,19.690001,916967
2018-04-06,19.660000,19.725000,19.570000,19.670000,19.670000,811487
2018-04-09,19.750000,19.860001,19.670000,19.770000,19.770000,805883
2018-04-10,19.870001,19.870001,19.680000,19.750000,19.750000,909358
2018-04-11,19.695000,19.985001,19.695000,19.950001,19.950001,1240825
2018-04-12,20.000000,20.110001,19.850000,19.885000,19.885000,904254
2018-04-13,19.865000,20.090000,19.865000,20.049999,20.049999,799532
2018-04-16,19.930000,20.120001,19.930000,20.120001,20.120001,753070
2018-04-17,20.139999,20.240000,20.030001,20.150000,20.150000,906552
2018-04-18,20.170000,20.309999,20.120001,20.230000,20.230000,784948
2018-04-19,20.200001,20.370001,20.190001,20.320000,20.320000,599126
2018-04-20,20.400000,20.740000,20.320000,20.670000,20.670000,951361
